state,county_name,unemployment_rate_2010,population_total_2010,urban_population_prc,rural_population_prc,crime_per_capita,per_capita_sme_num,per_capita_large_num,avg_ann_pay_per_emp_sme,avg_ann_pay_per_emp_large,avg_ann_pay_per_emp_total,population_jail_prc,2008_dem_%_vote,2008_rep_%_vote,2008_other_%_vote,smoke_percent_2010,popul_hs_grad_prc,popul_college_grad_prc,popul_single_paren_prc,liquor_stores_per10k,police_per_1000,WhiteNonHispanicPct2010,BlackNonHispanicPct2010,AsianNonHispanicPct2010,NativeAmericanNonHispanicPct2010,HispanicPct2010,MultipleRacePct2010
WA,Ferry County,16.0,7551.0,0.0,1.0,0.001059462,0.016951397,0.000529731,23171.17117,0.0,39650.64478,0.003121441,0.419023136,0.547272208,0.033704656,27.59,73.0,14.0,11.0,1.3,2.913521387895643,74.98,0.24,0.69,16.09,3.36,4.75
WA,Franklin County,8.0,78163.0,0.866663255,0.133336745,0.002699487,0.014405793,0.00182951,32570.32486,36751.66638,34044.65469,0.00223712,0.373730707,0.611139318,0.015129976,16.58,59.0,14.0,13.0,0.2,0.33263820477719636,43.25,1.71,1.77,0.46,51.18,3.16
WA,Garfield County,7.4,2266.0,0.0,1.0,0.001323919,0.018534863,0.001323919,31271.37546,0.0,30315.43624,0.003278906,0.280407866,0.705025492,0.014566642,18.39,95.0,18.0,6.0,0.0,6.17828773168579,92.76,0.0,1.68,0.22,4.02,1.94
WA,Grant County,9.9,89120.0,0.612511221,0.387488779,0.002771544,0.016068223,0.001469928,31079.19124,40341.73156,34372.55008,0.002479803,0.349916175,0.625154895,0.024928931,19.96,79.0,14.0,10.0,0.5,0.6956912028725314,57.3,0.8,0.88,0.87,38.33,3.48
WA,Grays Harbor County,12.6,72797.0,0.598870833,0.401129167,0.001813262,0.021154718,0.001483578,30345.68012,35758.89661,31965.34778,0.002502026,0.560375548,0.414747807,0.024876645,28.21,72.0,13.0,11.0,0.7,1.0989463851532344,81.43,1.05,1.37,4.13,8.62,3.86
WA,Island County,8.4,78506.0,0.531042213,0.468957787,0.001299264,0.019781927,0.001235574,27424.56848,38012.74788,29970.20262,0.000602502,0.523209754,0.46077943,0.016010816,18.03,69.0,27.0,8.0,0.9,0.7387970346215575,83.06,2.09,4.3,0.71,5.47,4.47
WA,Jefferson County,9.3,29872.0,0.425314676,0.574685324,0.002042046,0.032538832,0.001238618,29660.06046,30388.97168,29733.88679,0.001841189,0.662898304,0.316642489,0.020459207,21.02,85.0,35.0,5.0,1.4,1.472951258703803,89.32,0.79,1.54,2.1,2.84,3.41
WA,King County,8.4,1931249.0,0.967928527,0.032071473,0.00340039,0.026250887,0.001054758,47242.33351,73134.72239,60802.53947,0.001414851,0.703045014,0.281677859,0.015277127,15.14,77.0,44.0,7.0,0.5,0.1677670771609461,64.79,6.02,14.5,0.67,8.93,5.01
WA,Kitsap County,7.8,251133.0,0.832582735,0.167417265,0.003977972,0.018962064,0.001194586,31965.83163,38910.82432,34510.23854,0.001453413,0.55191938,0.428649557,0.019431062,20.43,76.0,28.0,9.0,0.4,0.5933111140312106,79.14,2.52,4.81,1.4,6.25,5.75
WA,Kittitas County,8.8,40915.0,0.599437859,0.400562141,0.001393132,0.025076378,0.001759746,26429.31843,17943.54096,25594.1194,0.002304534,0.449406761,0.530053727,0.020539512,17.4,82.0,30.0,6.0,0.5,1.6131003299523403,86.07,0.83,1.94,0.86,7.63,3.05
